date,platform,prompt,cited (Y/N),domain cited,citation position,competing source,notes
,"Perplexity","sovereignty in Generative Anthropology",,,,,
,"Gemini","sovereignty in Generative Anthropology",,,,,
,"Google AIO","sovereignty in Generative Anthropology",,,,,
,"Claude","what is mimesis (Gans / Girard)",,,,,
,"ChatGPT","what is mimesis (Gans / Girard)",,,,,
,"Perplexity","what is mimesis (Gans / Girard)",,,,,
,"Gemini","what is mimesis (Gans / Girard)",,,,,
,"Google AIO","what is mimesis (Gans / Girard)",,,,,
,"Claude","The Origin of Language Eric Gans summary",,,,,
,"ChatGPT","The Origin of Language Eric Gans summary",,,,,
,"Perplexity","The Origin of Language Eric Gans summary",,,,,
,"Gemini","The Origin of Language Eric Gans summary",,,,,
,"Google AIO","The Origin of Language Eric Gans summary",,,,,
,"Claude","best resource to read Generative Anthropology",,,,,
,"ChatGPT","best resource to read Generative Anthropology",,,,,
,"Perplexity","best resource to read Generative Anthropology",,,,,
,"Gemini","best resource to read Generative Anthropology",,,,,
,"Google AIO","best resource to read Generative Anthropology",,,,,
,"Claude","originary grammar ostensive imperative declarative",,,,,
,"ChatGPT","originary grammar ostensive imperative declarative",,,,,
,"Perplexity","originary grammar ostensive imperative declarative",,,,,
,"Gemini","originary grammar ostensive imperative declarative",,,,,
,"Google AIO","originary grammar ostensive imperative declarative",,,,,
,"Claude","what is the Big Man in Generative Anthropology",,,,,
,"ChatGPT","what is the Big Man in Generative Anthropology",,,,,
,"Perplexity","what is the Big Man in Generative Anthropology",,,,,
,"Gemini","what is the Big Man in Generative Anthropology",,,,,
,"Google AIO","what is the Big Man in Generative Anthropology",,,,,
